,co2_per_capita,cement_co2_per_capita,coal_co2_per_capita,gas_co2_per_capita,other_industry_co2,oil_co2_per_capita
4667,5.312,0.097,0.318,3.157,1.5,1.591
4668,5.473,0.116,0.312,3.338,1.631,1.544
4669,5.826,0.13,0.297,3.635,1.749,1.587
4670,5.97,0.148,0.298,3.722,1.941,1.606
4671,6.253,0.159,0.293,3.789,1.914,1.817
4672,6.128,0.165,0.284,3.854,1.927,1.629
4673,6.42,0.185,0.268,3.947,1.848,1.83
4674,6.208,0.192,0.274,3.261,1.715,2.304
4675,6.417,0.202,0.298,4.064,1.689,1.678
4676,6.316,0.203,0.306,3.851,1.562,1.795
4677,6.452,0.226,0.516,3.798,1.441,1.763
4678,6.617,0.245,0.499,3.808,1.307,1.93
4679,6.566,0.274,0.478,3.775,1.378,1.896
4680,6.061,0.234,0.422,3.5,1.295,1.771
4681,5.988,0.227,0.38,3.49,1.033,1.783
4682,6.117,0.229,0.4,3.581,1.153,1.787
4683,6.411,0.223,0.409,3.797,1.034,1.875
4684,6.419,0.235,0.424,3.792,0.993,1.864
4685,6.13,0.239,0.392,3.539,0.973,1.858
4686,6.362,0.234,0.403,3.776,0.951,1.849
4687,6.167,0.235,0.405,3.682,0.951,1.745
4849,12.078,0.284,4.156,1.993,2.658,5.37
4850,12.352,0.288,4.017,2.164,2.479,5.625
4851,12.229,0.308,3.806,2.217,2.377,5.652
4852,12.09,0.307,3.64,2.311,2.372,5.587
4853,12.394,0.316,3.775,2.353,2.455,5.698
4854,12.475,0.322,3.661,2.606,2.597,5.62
4855,12.79,0.297,3.379,2.886,2.419,5.98
4856,12.21,0.311,3.143,2.732,2.468,5.772
4857,12.781,0.312,3.26,3.029,2.532,5.922
4858,12.195,0.304,2.83,3.225,2.553,5.575
4859,12.346,0.319,3.086,3.234,2.684,5.43
4860,12.228,0.287,2.744,3.195,2.68,5.728
4861,12.251,0.289,2.765,3.211,2.745,5.705
4862,12.329,0.282,2.669,3.364,2.662,5.747
4863,12.315,0.271,2.702,3.346,2.847,5.714
4864,11.945,0.279,2.491,3.389,2.679,5.522
4865,11.705,0.294,2.394,3.344,2.801,5.396
4866,11.307,0.29,2.174,3.345,2.693,5.235
4867,11.203,0.283,2.168,3.327,2.723,5.16
4868,9.977,0.259,1.404,3.378,1.961,4.745
4869,10.535,0.237,1.611,3.709,2.18,4.768
4870,9.59,0.252,1.523,3.156,2.299,4.44
4871,9.283,0.24,1.367,3.165,2.116,4.311
4872,9.251,0.229,1.381,3.177,2.106,4.266
4873,8.681,0.236,1.324,2.773,2.115,4.152
4874,8.992,0.209,1.283,3.006,2.176,4.292
4875,8.803,0.215,1.197,3.037,2.083,4.163
4876,8.701,0.201,1.169,3.076,2.073,4.064
4877,8.732,0.221,1.167,3.152,2.048,4.001
4878,8.642,0.245,1.146,3.144,1.872,3.934
4879,7.88,0.228,0.913,3.118,1.639,3.471
4880,8.239,0.229,1.008,3.128,1.721,3.717
4881,7.688,0.228,1.096,2.715,1.721,3.492
6504,1.451,0.073,0.246,0.05,3.688,1.007
6505,1.496,0.077,0.277,0.048,3.755,1.022
6506,1.498,0.063,0.264,0.051,3.948,1.047
6507,1.542,0.064,0.267,0.055,4.241,1.081
6508,1.578,0.063,0.271,0.056,4.098,1.113
6509,1.643,0.071,0.279,0.059,4.104,1.164
6510,1.742,0.084,0.28,0.064,4.248,1.242
6511,1.821,0.091,0.279,0.07,4.338,1.304
6512,1.855,0.095,0.267,0.073,4.141,1.342
6513,1.886,0.095,0.27,0.081,4.352,1.357
6514,1.934,0.091,0.287,0.105,5.008,1.362
6515,1.942,0.085,0.277,0.13,4.811,1.357
6516,1.927,0.08,0.27,0.162,4.956,1.325
6517,1.887,0.072,0.284,0.169,5.064,1.273
6518,1.957,0.072,0.291,0.207,5.505,1.298
6519,1.951,0.077,0.273,0.212,5.356,1.286
6520,1.954,0.082,0.269,0.223,5.41,1.283
6521,2.047,0.09,0.288,0.227,5.666,1.342
6522,2.142,0.098,0.287,0.266,5.69,1.387
6523,2.004,0.098,0.224,0.211,5.06,1.351
6524,2.242,0.108,0.289,0.28,5.95,1.457
6525,2.334,0.115,0.314,0.268,6.337,1.533
6526,2.492,0.125,0.305,0.317,6.403,1.639
6527,2.639,0.132,0.325,0.37,6.486,1.697
6528,2.742,0.132,0.339,0.4,6.278,1.753
6529,2.58,0.122,0.338,0.392,6.392,1.61
6530,2.382,0.108,0.309,0.337,6.392,1.513
6531,2.384,0.097,0.32,0.337,6.392,1.516
6532,2.274,0.098,0.313,0.319,6.392,1.431
6533,2.236,0.099,0.292,0.317,6.392,1.414
6534,2.085,0.11,0.264,0.276,6.392,1.324
6535,2.32,0.114,0.316,0.354,6.392,1.424
6536,2.245,0.11,0.261,0.278,6.392,1.486
7122,8.741,0.244,3.961,1.38,1.164,3.009
7123,7.046,0.145,3.644,1.163,0.829,1.989
7124,6.611,0.127,3.627,1.023,0.678,1.74
7125,6.777,0.134,3.837,0.946,0.644,1.767
7126,6.594,0.169,3.671,0.949,0.683,1.707
7127,6.831,0.235,3.694,1.176,0.765,1.616
7128,6.958,0.233,3.746,1.214,0.756,1.657
7129,6.709,0.189,4.089,0.989,0.57,1.356
7130,6.45,0.136,3.9,0.868,0.456,1.474
7131,5.675,0.136,3.259,0.754,0.368,1.465
7132,5.608,0.15,3.258,0.824,0.443,1.307
7133,6.089,0.153,3.742,0.769,0.451,1.353
7134,5.781,0.152,3.489,0.696,0.531,1.362
7135,6.375,0.161,3.94,0.732,0.511,1.463
7136,6.297,0.184,3.807,0.739,0.569,1.479
7137,6.474,0.207,3.773,0.84,0.602,1.561
7138,6.675,0.2,3.862,0.866,0.804,1.627
7139,7.214,0.256,4.323,0.892,0.869,1.612
7140,7.039,0.248,4.233,0.875,0.938,1.541
7141,5.994,0.129,3.573,0.662,0.786,1.484
7142,6.297,0.106,3.859,0.707,1.028,1.44
7143,7.043,0.104,4.572,0.815,1.19,1.342
7144,6.449,0.131,3.928,0.769,1.099,1.422
7145,5.731,0.12,3.364,0.755,1.074,1.292
7146,6.126,0.124,3.606,0.758,1.119,1.435
7147,6.584,0.151,3.787,0.811,1.305,1.573
7148,6.257,0.165,3.334,0.819,1.339,1.642
7149,6.604,0.173,3.591,0.841,1.307,1.695
7150,6.109,0.172,3.104,0.812,1.28,1.741
7151,5.988,0.161,2.945,0.744,1.244,1.845
7152,5.235,0.153,2.323,0.763,1.141,1.735
7153,6.14,0.154,2.957,0.906,1.313,1.851
7154,6.804,0.155,3.548,0.757,1.313,2.068
8052,16.578,0.211,3.593,4.546,3.13,7.683
8053,16.068,0.17,3.724,4.475,3.276,7.148
8054,16.369,0.169,3.779,4.68,2.979,7.17
8055,16.205,0.171,3.456,4.805,2.946,7.204
9060,1.221,0.01,1.144,0.003,18.925,0.035
9061,0.871,0.004,0.797,0.004,20.417,0.034
9062,0.692,0.004,0.62,0.003,21.108,0.033
9063,0.668,0.005,0.594,0.003,22.069,0.034
9064,0.654,0.007,0.57,0.003,24.271,0.039
9065,0.691,0.009,0.598,0.003,23.383,0.048
9066,0.74,0.011,0.632,0.003,24.192,0.06
9067,0.605,0.008,0.504,0.004,25.244,0.056
9068,0.635,0.007,0.529,0.003,26.197,0.062
9069,0.758,0.009,0.625,0.005,28.285,0.083
9070,0.982,0.013,0.81,0.007,31.22,0.115
9071,1.078,0.016,0.873,0.009,31.605,0.142
9072,1.123,0.017,0.893,0.011,34.576,0.16
9073,1.144,0.018,0.889,0.013,37.544,0.18
9074,1.143,0.017,0.863,0.016,38.011,0.203
9075,1.293,0.021,0.991,0.019,34.406,0.223
